id|input|aspect|context|sentiment
3976|ресторане|Whole|Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось.|neutral
3976|ресторанах|Whole|Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось.|neutral
3976|ресторане|Whole|Но теперь о ресторане.|neutral
3976|Столик бронировали|Service|Столик бронировали заранее и сделали так как предложил администратор т.е.|neutral
3976|администратор|Service|Столик бронировали заранее и сделали так как предложил администратор т.е.|positive
3976|предварительный заказ|Service|сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.|positive
3976|ресторан|Whole|сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.|neutral
3976|ресторане|Whole|сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.|neutral
3976|горячее блюдо|Food|сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго.|neutral
3976|Меню|Food|Меню достаточно разнообразное и весьма вкусное, мне и моим друзьям понравилось всё что нам принесли, а принесли нам немало.|positive
3976|Обслуживание|Service|Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно.|both
3976|официанты|Service|Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно.|positive
3976|Интерьер|Interior|Интерьер хороший, удобные диваны.Очень хорошая музыкальная программа и весёлый ведущий.|positive
3976|диваны|Interior|Интерьер хороший, удобные диваны.Очень хорошая музыкальная программа и весёлый ведущий.|positive
3976|музыкальная программа|Interior|Интерьер хороший, удобные диваны.Очень хорошая музыкальная программа и весёлый ведущий.|positive
3976|ведущий|Interior|Интерьер хороший, удобные диваны.Очень хорошая музыкальная программа и весёлый ведущий.|positive
3976|ресторан|Whole|В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая.|positive
3976|кухня|Food|В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая.|positive
3976|Руководству|Whole|Руководству и персоналу СПАСИБО.|positive
3976|персоналу|Service|Руководству и персоналу СПАСИБО.|positive
30808|ресторане|Whole|Отмечали в этом ресторане день рождение на первом этаже в субботу вечером.|neutral
30808|первом этаже|Interior|Отмечали в этом ресторане день рождение на первом этаже в субботу вечером.|neutral
30808|руководству ресторана|Whole|Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.|positive
30808|обслуживающему персоналу|Service|Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.|positive
30808|сотрудникам|Service|Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.|positive
30808|блюда|Food|Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда.|positive
30808|интерьер|Interior|Конечно же впечатляет интерьер: уютно и красиво.|positive
30808|Стол|Food|Стол был шикарный.|positive
30808|обслуживал|Service|Нас обслуживал официант Бахрам, спасибо ему.|positive
30808|официант|Service|Нас обслуживал официант Бахрам, спасибо ему.|positive
30808|ресторана|Whole|Хочу отметить, что для ресторана такого уровня цены не высокие.|positive
30808|цены|Price|Хочу отметить, что для ресторана такого уровня цены не высокие.|positive
14031|"ресторана ""Крапива"""|Whole|"Хочу поделиться своим впечатлением от посещения ресторана ""Крапива""."|neutral
14031|рестораном|Whole|Уже при первой встрече с рестораном (при заказе) все понравилось.|positive
14031|интерьер|Interior|Хороший интерьер, приятный, воспитанный администратор Светлана.|positive
14031|администратор|Service|Хороший интерьер, приятный, воспитанный администратор Светлана.|positive
14031|меню|Food|Очень помогала при выборе меню.|neutral
14031|обслуживании|Service|При обслуживании банкета официанты внимательно смотрели за столом.|positive
14031|официанты|Service|При обслуживании банкета официанты внимательно смотрели за столом.|positive
14031|смотрели за столом|Service|При обслуживании банкета официанты внимательно смотрели за столом.|positive
14031|молодой человек|Service|За барной стойкой помогал с музыкой молодой человек, к сожалению не знаю всех имен.|positive
14031|ресторан|Whole|Очень советую посетить ресторан, атмосфера домашняя.|positive
14031|атмосфера|Interior|Очень советую посетить ресторан, атмосфера домашняя.|positive
14031|заведение|Whole|Всем огромное спасибо, еще не один раз посетим это приятное заведение и будем рекомендовать своим друзьям.|positive
14031|Крапивы|Whole|"Посещение ""Крапивы"" останется на всю жизнь!!"|positive
2495|кафе|Whole|Были вчера с друзьями в этом кафе!|neutral
2495|поварам|Service|Огромное спасибо поварам, очень вкусные блюда!!!!!|positive
2495|блюда|Food|Огромное спасибо поварам, очень вкусные блюда!!!!!|positive
